FeatureNum	ProbeName	GeneSymbol
875	A_51_P173564	Ahsa1
876	A_30_P01027041	
877	A_55_P1965694	Gabrg2
878	A_55_P1991461	
879	A_30_P01029024	
880	A_55_P2140487	
881	A_66_P101664	Scai
882	A_55_P1979699	Spop
883	A_30_P01030746	
884	ERCC-00171_229	
885	A_30_P01018338	
886	A_55_P2103206	Dusp8
887	A_55_P2165334	Nde1
888	A_51_P427530	Pgm1
889	A_66_P100262	Olfr1471
890	A_30_P01029975	
891	A_55_P2071087	Cyb561d1
892	A_30_P01022162	
893	A_55_P1972448	
894	A_30_P01031447	
895	A_55_P2148684	Best1
896	ERCC-00123_60	
897	A_55_P2094484	Gm14137
898	ETG05_66023	
899	3xSLv1	
900	A_30_P01030094	
901	A_55_P2084458	Tma16
902	A_30_P01031269	
903	A_30_P01031325	
904	A_51_P127681	Clic4
905	A_30_P01027915	
906	A_55_P2093535	Rps8
907	A_30_P01030333	
908	A_55_P2155362	
909	A_55_P2202558	
910	A_55_P2154914	Acap1
911	A_30_P01031964	
912	A_30_P01022854	
913	A_30_P01026710	
914	A_30_P01025376	
915	A_55_P2041626	Ceacam12
916	A_55_P2139431	Ces2h
917	A_30_P01017900	
918	A_55_P2008443	Mybpc1
919	A_55_P2000668	Stxbp2
920	A_52_P640922	Dcdc2a
921	A_30_P01031126	
922	A_55_P1967933	
923	A_51_P513032	Trps1
924	A_51_P480136	Cryba2
925	A_66_P125873	Nup93
926	A_51_P103757	Kat8
927	A_55_P2166733	
928	A_52_P635015	Gpr39
929	A_55_P2116094	Gsc2
930	A_30_P01025629	
931	A_55_P2118412	
932	A_30_P01024985	
933	A_30_P01029960	
934	A_30_P01024084	
935	A_55_P2164890	Trmo
936	ERCC-00031_101	
937	A_51_P120093	Snx10
938	A_55_P2064333	Lama3
939	A_55_P2199457	Plxna4os1
940	A_52_P100926	Il1a
941	A_55_P2028511	
942	A_51_P106799	Pparg
943	A_51_P183213	Riiad1
944	A_51_P106799	Pparg
945	A_30_P01031682	
946	A_51_P142989	Zfp429
947	A_55_P2015403	9930111J21Rik1
948	A_51_P274073	Kcnma1
949	A_55_P2176631	
